epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.28881072998046875,15.325247764587402,46.34325615582507,27,251,0.9028776978417267,0.9687638445517875,-360.1038100641314,0.73762758565872
2,0.25094377994537354,21.334068298339844,47.22528482175671,23,364,0.9405684754521964,0.9813786224779093,-453.6636989211432,0.7169212476765432
3,0.2158268690109253,26.29547882080078,43.25615582506431,31,446,0.9350104821802935,0.9766049920569293,-530.6512445821953,0.6396595552132792
4,0.2569763660430908,34.84013366699219,43.880926130099226,48,584,0.9240506329113924,0.976057088119507,-700.2812206320748,0.6202394404417918
5,0.25990021228790283,37.92723083496094,44.432194046306506,53,635,0.9229651162790697,0.9694253195237605,-672.1703794868073,0.5701806738771661
