epoch,loss,acc,gt,prob_model,prob_mod_no
1,1.0918954610824585,28.28409767150879,450,-507.1788907803964,0.7415808424247308
2,0.7532562017440796,60.46511459350586,962,-739.1420045861489,0.47176786621253186
3,0.44238409399986267,79.00691223144531,1257,-646.8115121069146,0.3040854371868533
4,0.5097477436065674,84.7265853881836,1348,-598.2183203712651,0.2561011322873335
5,0.33259475231170654,89.50345611572266,1424,-463.7016262053761,0.18731185694384633
6,0.10157905519008636,93.2118148803711,1483,-417.1968764194576,0.159858835735311
7,0.1486855298280716,94.90885925292969,1510,-363.91627084410953,0.1369141672378211
8,0.48586201667785645,94.59459686279297,1505,-301.05967881958367,0.1131970468774569
9,0.10132475197315216,95.97737121582031,1527,-287.98039714131374,0.10707749292684653
10,0.09434663504362106,96.92017364501953,1542,-240.97452219180067,0.08850969696279941
