epoch,loss,acc,gt,prob_model,prob_mod_no
1,0.06572947651147842,68.32180786132812,1087,-959.6368398325823,0.4804550978316736
2,0.03737476095557213,93.77749633789062,1492,-593.9020825499198,0.2202963820286862
3,0.02756863459944725,96.60591125488281,1537,-418.26999672508055,0.1523930991513631
4,0.022736141458153725,97.61156463623047,1553,-311.5033589761019,0.1125001173408215
5,0.015136165544390678,98.11439514160156,1561,-264.6243213017987,0.09514536393433681
6,0.01891261897981167,98.86863708496094,1573,-245.72244727538467,0.08780695933712664
7,0.012504881247878075,99.30860900878906,1580,-227.55234632816254,0.08085431085480968
8,0.010697604157030582,99.37146759033203,1581,-202.98299079701067,0.07207964304951521
9,0.008653167635202408,99.4971694946289,1583,-184.13547537010834,0.06532254135199785
10,0.01009839866310358,99.68572998046875,1586,-168.39197389997975,0.0596437423911157
