epoch,loss,acc,gt,rs,RSR,RSRw,prob_model
0,98.4233358502388,8.046667098999023,180,2234,0.9254349627174814,0.928393333201212,2914.237563469657
1,13.94262667465955,90.03666687011719,26993,18,0.0006663951723371959,0.0006954313868885227,-3606.747449110787
2,10.103097744518891,92.75666809082031,27823,4,0.00014374528335788983,0.00015077698866732518,-2218.59762346039
3,8.269190679769963,94.4566650390625,28335,2,7.057910152803755e-05,6.658682955893683e-05,-1298.7704182669104
