epoch,loss,acc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.01473852340131998,88.46666717529297,26428,112,0.004220045214770159,0.006397894564691616,-2675.459449513224,0.07672238462661415
2,0.0026440084911882877,97.02999877929688,29109,0,0.0,-0.0,-905.5307298156591,0.023221579055282663
3,0.011570313945412636,97.86666870117188,29358,2,6.811989100817439e-05,0.00010559155277788376,-620.5073275430622,0.015754309729812732
