epoch,loss,acc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.03622693195939064,89.30999755859375,26726,67,0.0025006531556749896,0.0031310210263978786,-2271.322916449463,0.06539717594510806
2,0.02368946187198162,96.94000244140625,29082,0,0.0,-0.0,-859.3420625727832,0.022584302055484357
3,0.010919749736785889,98.04666900634766,29414,0,0.0,-0.0,-581.5528555482674,0.015088404287930566
