epoch,loss,acc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.010825688019394875,90.4366683959961,27071,60,0.002211492388780362,0.0034947387422018627,-1694.7829703982827,0.06932452237423717
2,0.0057213399559259415,97.36666870117188,29207,3,0.00010270455323519343,0.00023558286651483934,-586.0684376004442,0.021722049070620954
3,0.00039546136395074427,98.27333068847656,29481,1,3.391900142459806e-05,5.081007384933663e-05,-392.9677518709354,0.014402944319011943
