epoch,loss,acc,GAcc,acc_C1,acc_C2,acc_C3,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,2.104926824569702,78.7,23.458333333333332,44.6,73.81666666666666,65.16666666666667,2500,6944,0.7352816603134266,0.7711807262578587,-41344.32638908289,0.8283033973297679
2,1.620484471321106,91.61666666666666,35.59166666666667,57.94166666666667,82.175,77.875,4180,6814,0.6197926141531744,0.6431560935540868,-38534.49045645425,0.7165300375872959
3,1.688093662261963,92.74166666666666,40.541666666666664,61.65833333333333,84.55,80.20833333333333,4784,6345,0.5701320873393836,0.5965553721399426,-37388.168410288374,0.690848729727849
4,1.920350432395935,93.325,44.9,64.81666666666666,85.88333333333334,82.45833333333333,5304,5895,0.5263862844896866,0.5516261283021078,-36090.20436166032,0.664728799287802
5,1.592507243156433,93.60833333333333,46.90833333333333,66.06666666666666,86.84166666666667,83.025,5553,5680,0.5056529867355114,0.5318594093386263,-35067.29666643298,0.6448848144489334
6,1.7237675189971924,93.71666666666667,48.09166666666667,67.36666666666666,86.85833333333333,83.66666666666667,5696,5550,0.4935088031300018,0.51952659972656,-34154.97538658647,0.627734383761025
7,1.5693937540054321,93.96666666666667,49.333333333333336,68.075,87.33333333333333,84.08333333333333,5834,5442,0.48261794962752746,0.509923363090867,-33375.290376312056,0.6125652732490126
8,1.696035385131836,94.08333333333333,49.791666666666664,68.13333333333334,87.76666666666667,84.31666666666666,5901,5389,0.47732506643046946,0.5037034870804732,-32763.24049769395,0.6009480885582918
9,1.4294898509979248,94.34166666666667,50.80833333333333,68.98333333333333,87.89166666666667,84.475,6014,5307,0.4687748432117304,0.4965945913174273,-32350.16602112169,0.5925342051232553
10,1.5847346782684326,94.43333333333334,51.141666666666666,69.38333333333334,87.80833333333334,84.875,6065,5267,0.46478997529121074,0.49331520750799185,-31938.286276325984,0.5846973742605569
