epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
2,1.3874973058700562,95.70333099365234,97.83333333333333,28711,0,0.0,-0.0,-1297.4891718256908,0.02508452194741601
3,0.7790746688842773,96.90666961669922,98.43833333333333,29069,3,0.00010319207484865162,0.0001050262065531205,-942.6577609418439,0.01799656822503101
4,0.29914194345474243,97.36000061035156,98.67166666666667,29207,1,3.423719528896193e-05,3.0590362893825114e-05,-736.8769509465694,0.014005717874173602
5,0.9011337757110596,97.44000244140625,98.71666666666667,29231,1,3.4209085933223865e-05,3.694725085128691e-05,-671.9039440351224,0.012757528183038963
6,0.7194183468818665,97.86333465576172,98.925,29358,1,3.406110562348854e-05,3.0428627390673224e-05,-524.7533820304906,0.009921181184089448
7,0.14741869270801544,98.24666595458984,99.10833333333333,29472,2,6.785641582411617e-05,5.641126966096644e-05,-443.70699418059377,0.008355244265364168
8,0.1333717703819275,98.07666778564453,99.03166666666667,29422,1,3.3987016959521466e-05,3.0377295894663142e-05,-406.99172930805787,0.007681755283851463
9,0.07234089821577072,98.36333465576172,99.17166666666667,29508,1,3.388796638313735e-05,2.607769649232687e-05,-336.05172419683106,0.0063214964405169435
10,0.02451961301267147,98.24333190917969,99.105,29469,4,0.00013571743629762833,0.0001335418915669694,-321.30276278364494,0.0060517508768470904
