epoch,loss,acc,GAcc,gt,rs,RSR,RSRw,prob_model,prob_mod_no
1,0.06917338818311691,77.96666717529297,78.705,21841,1549,0.0662248824283882,0.06911533388164706,-5424.285228020769,0.1113648892643772
2,0.009703957475721836,96.88999938964844,98.42166666666667,29064,3,0.00010320982557539478,0.00010532880786016776,-1294.6989661111347,0.021454812586253043
3,0.12571996450424194,97.95999908447266,98.97333333333333,29388,0,0.0,-0.0,-873.1459107840034,0.014311011283191474
4,0.04748062416911125,98.4433364868164,99.21333333333334,29532,1,3.386042731859276e-05,3.392229555130312e-05,-621.3456442029528,0.010136120761125309
5,0.0006306605064310133,98.59333038330078,99.295,29578,0,0.0,-0.0,-518.3261451390898,0.008441507776509753
6,0.15856312215328217,98.75666809082031,99.37333333333333,29626,1,3.375299557835758e-05,3.381481167688585e-05,-411.07006103993314,0.0066846104694254895
7,0.0012605641968548298,98.98332977294922,99.49,29695,0,0.0,-0.0,-344.23371860307356,0.005584407222975208
8,0.008986303582787514,99.02999877929688,99.50833333333334,29708,1,3.365983372042142e-05,3.3722427693878096e-05,-287.7505578604669,0.004666467985189803
9,0.01399714034050703,99.09333038330078,99.54833333333333,29728,0,0.0,-0.0,-257.9070429430614,0.004178771176320305
10,0.052591633051633835,99.13999938964844,99.56666666666666,29741,1,3.3622486719117745e-05,3.559001308397898e-05,-236.62234871996955,0.0038327408922009844
